"Transparencia","giroscopio X","giroscopio Y","Vermelho","Verde","Azul","Branco","Label"
978,909,858,2,2,2,7,'N/A'
977,923,857,2,2,2,7,'N/A'
978,922,879,2,2,2,7,'N/A'
978,926,865,2,2,2,7,'N/A'
979,916,852,2,2,2,7,'N/A'
978,914,846,2,2,2,7,'N/A'
979,920,855,2,2,2,7,'N/A'
978,930,866,2,2,2,7,'N/A'
978,931,871,2,2,2,7,'N/A'
977,923,854,2,2,2,7,'N/A'
978,915,845,2,2,2,7,'N/A'
978,921,851,2,2,2,7,'N/A'
978,929,880,2,2,2,7,'N/A'
978,930,873,2,2,2,7,'N/A'
978,921,876,2,2,2,7,'N/A'
979,912,847,2,2,2,7,'N/A'
978,914,848,2,2,2,7,'N/A'
979,925,863,2,2,2,7,'N/A'
979,931,872,2,2,2,7,'N/A'
977,921,877,2,2,2,7,'N/A'
976,906,850,2,2,2,7,'N/A'
979,911,860,2,2,2,7,'N/A'
977,923,856,2,2,2,7,'N/A'
977,915,871,2,2,2,7,'N/A'
978,918,857,2,2,2,7,'N/A'
976,909,862,2,2,2,7,'N/A'
979,912,865,2,2,2,7,'N/A'
978,921,859,2,2,2,7,'N/A'
978,911,866,2,2,2,7,'N/A'
978,916,849,2,2,2,7,'N/A'
977,915,848,2,2,2,7,'N/A'
979,926,860,2,2,2,7,'N/A'
978,926,877,2,2,2,7,'N/A'
978,919,861,2,2,2,7,'N/A'
978,916,856,2,2,2,7,'N/A'
979,913,869,2,2,2,7,'N/A'
979,916,855,2,2,2,7,'N/A'
977,917,867,2,2,2,7,'N/A'
979,909,862,2,2,2,7,'N/A'
977,915,847,2,2,2,7,'N/A'
978,921,853,2,2,2,7,'N/A'
978,918,868,2,2,2,7,'N/A'
979,915,868,2,2,2,7,'N/A'
977,917,851,2,2,2,7,'N/A'
980,917,867,2,2,2,7,'N/A'
979,910,865,2,2,2,7,'N/A'
979,922,859,2,2,2,7,'N/A'
978,914,869,2,2,2,7,'N/A'
978,918,854,2,2,2,7,'N/A'
978,918,853,2,2,2,7,'N/A'
978,921,855,2,2,2,7,'N/A'
978,926,855,2,2,2,7,'N/A'
978,927,860,2,2,2,7,'N/A'
978,923,857,2,2,2,7,'N/A'
979,918,869,2,2,2,7,'N/A'
978,911,864,2,2,2,7,'N/A'
978,919,851,2,2,2,7,'N/A'
978,918,867,2,2,2,7,'N/A'
979,919,877,2,2,2,7,'N/A'
978,917,871,2,2,2,7,'N/A'
979,915,869,2,2,2,7,'N/A'
978,910,866,2,2,2,7,'N/A'
979,903,854,2,2,2,7,'N/A'
978,864,801,2,2,2,7,'N/A'
978,889,807,2,2,2,7,'N/A'
978,904,840,2,2,2,7,'N/A'
978,919,846,2,2,2,7,'N/A'
978,935,862,2,2,2,7,'N/A'
978,923,873,2,2,2,7,'N/A'
978,917,868,2,2,2,7,'N/A'
979,923,857,2,2,2,7,'N/A'
978,928,864,2,2,2,7,'N/A'
978,923,861,2,2,2,7,'N/A'
978,919,871,2,2,2,7,'N/A'
979,913,866,2,2,2,7,'N/A'
979,912,864,2,2,2,7,'N/A'
978,917,870,2,2,2,7,'N/A'
979,919,871,2,2,2,7,'N/A'
979,915,865,2,2,2,7,'N/A'
978,919,852,2,2,2,7,'N/A'
979,921,857,2,2,2,7,'N/A'
972,913,839,2,2,2,6,'N/A'
972,910,832,2,2,2,6,'N/A'
971,922,847,2,2,2,6,'N/A'
973,930,864,2,2,2,6,'N/A'
972,929,867,2,2,2,6,'N/A'
971,917,848,2,2,2,6,'N/A'
972,898,841,2,2,2,6,'N/A'
971,890,806,2,2,2,6,'N/A'
972,900,834,2,2,2,6,'N/A'
972,907,831,2,2,2,6,'N/A'
972,916,842,2,2,2,6,'N/A'
972,921,850,2,2,2,6,'N/A'
972,920,849,2,2,2,6,'N/A'
972,918,851,2,2,2,6,'N/A'
972,910,847,2,2,2,7,'N/A'
973,916,850,2,2,2,6,'N/A'
972,916,865,2,2,2,6,'N/A'
972,914,866,2,2,2,6,'N/A'
973,917,853,2,2,2,6,'N/A'
971,910,845,2,2,2,6,'N/A'
973,913,862,2,2,2,7,'N/A'
972,915,867,2,2,2,6,'N/A'
973,910,865,2,2,2,6,'N/A'
973,909,863,2,2,2,6,'N/A'
971,913,865,2,2,2,6,'N/A'
972,914,867,2,2,2,6,'N/A'
973,910,870,2,2,2,6,'N/A'
971,907,843,2,2,2,6,'N/A'
971,913,846,2,2,2,6,'N/A'
971,924,857,2,2,2,6,'N/A'
971,925,861,2,2,2,7,'N/A'
972,921,859,2,2,2,6,'N/A'
971,913,852,2,2,2,6,'N/A'
971,916,853,2,2,2,6,'N/A'
971,907,833,2,2,2,6,'N/A'
972,898,842,2,2,2,7,'N/A'
972,907,854,2,2,2,6,'N/A'
971,913,861,2,2,2,7,'N/A'
971,908,856,2,2,2,6,'N/A'
971,900,845,2,2,2,6,'N/A'
971,906,851,2,2,2,6,'N/A'
971,916,868,2,2,2,6,'N/A'
972,919,873,2,2,2,6,'N/A'
971,908,863,2,2,2,6,'N/A'
971,903,857,2,2,2,6,'N/A'
971,910,868,2,2,2,6,'N/A'
972,924,883,2,2,2,6,'N/A'
970,917,882,2,2,2,6,'N/A'
972,912,868,2,2,2,6,'N/A'
973,908,863,2,2,2,6,'N/A'
973,916,861,2,2,2,6,'N/A'
973,924,871,2,2,2,6,'N/A'
972,922,866,2,2,2,7,'N/A'
972,914,855,2,2,2,6,'N/A'
972,910,850,2,2,2,6,'N/A'
972,915,875,2,2,2,7,'N/A'
973,928,874,2,2,2,6,'N/A'
971,924,883,2,2,2,6,'N/A'
972,907,863,2,2,2,6,'N/A'
971,906,858,2,2,2,6,'N/A'
972,924,865,2,2,2,7,'N/A'
971,927,871,2,2,2,7,'N/A'
973,911,866,2,2,2,6,'N/A'
973,902,856,2,2,2,7,'N/A'
973,905,859,2,2,2,6,'N/A'
971,915,871,2,2,2,6,'N/A'
971,916,871,2,2,2,6,'N/A'
973,906,859,2,2,2,6,'N/A'
971,900,848,2,2,2,6,'N/A'
972,908,860,2,2,2,7,'N/A'
972,918,874,2,2,2,6,'N/A'
973,911,866,2,2,2,6,'N/A'
971,902,852,2,2,2,6,'N/A'
971,902,850,2,2,2,6,'N/A'
973,912,865,2,2,2,6,'N/A'
973,917,873,2,2,2,6,'N/A'
973,910,868,2,2,2,6,'N/A'
972,908,844,2,2,2,6,'N/A'
971,911,862,2,2,2,6,'N/A'
972,923,867,2,2,2,6,'N/A'
972,924,871,2,2,2,6,'N/A'
971,914,856,2,2,2,6,'N/A'
972,909,848,2,2,2,6,'N/A'
973,913,852,2,2,2,6,'N/A'
972,923,864,2,2,2,6,'N/A'
972,927,870,2,2,2,6,'N/A'
972,911,866,2,2,2,6,'N/A'
971,903,851,2,2,2,6,'N/A'
971,907,857,2,2,2,6,'N/A'
972,918,870,2,2,2,6,'N/A'
972,925,860,2,2,2,6,'N/A'
972,915,848,2,2,2,6,'N/A'
973,911,843,2,2,2,7,'N/A'
971,919,852,2,2,2,6,'N/A'
972,925,885,2,2,2,6,'N/A'
956,921,867,2,2,2,7,'N/A'
952,905,866,2,2,2,6,'N/A'
966,909,843,2,1,2,6,'N/A'
989,913,866,2,2,2,6,'N/A'
990,927,886,2,2,2,6,'N/A'
989,929,881,2,2,2,6,'N/A'
990,912,869,2,2,2,6,'N/A'
987,916,867,2,2,2,6,'N/A'
988,931,883,2,2,2,6,'N/A'
988,945,882,2,2,2,6,'N/A'
988,936,872,2,2,2,6,'N/A'
990,917,871,2,2,2,6,'N/A'
989,922,876,2,2,2,6,'N/A'
988,938,892,2,2,2,7,'N/A'
989,938,880,2,2,2,6,'N/A'
990,930,868,2,2,2,6,'N/A'
988,925,858,2,2,2,6,'N/A'
989,926,864,2,2,2,6,'N/A'
990,931,869,2,2,2,6,'N/A'
989,940,875,2,2,2,6,'N/A'
988,923,871,2,2,2,6,'N/A'
987,919,866,2,2,2,6,'N/A'
992,942,873,2,1,2,6,'N/A'
993,953,912,2,2,2,6,'N/A'
991,938,886,2,2,2,6,'N/A'
990,930,887,2,2,2,6,'N/A'
979,919,862,2,2,2,6,'N/A'
958,923,868,2,2,2,6,'N/A'
957,914,862,2,2,2,6,'N/A'
964,913,854,2,2,2,6,'N/A'
959,900,836,2,2,2,6,'N/A'
963,911,846,2,2,2,7,'N/A'
966,922,860,2,2,2,6,'N/A'
967,913,870,2,2,2,6,'N/A'
967,910,849,2,2,2,6,'N/A'
966,902,836,2,2,2,6,'N/A'
966,911,839,2,2,2,6,'N/A'
966,916,871,2,2,2,6,'N/A'
966,912,852,2,2,2,6,'N/A'
963,902,847,2,2,2,6,'N/A'
962,908,834,2,2,2,6,'N/A'
964,911,842,2,2,2,6,'N/A'
964,912,849,2,2,2,6,'N/A'
968,923,857,2,2,2,6,'N/A'
966,914,868,2,2,2,6,'N/A'
966,906,860,2,2,2,6,'N/A'
967,909,839,2,2,2,6,'N/A'
967,906,853,2,2,2,6,'N/A'
967,898,843,2,2,2,6,'N/A'
964,893,832,2,2,2,6,'N/A'
966,909,830,2,2,2,6,'N/A'
965,912,831,2,2,2,6,'N/A'
965,912,849,2,2,2,6,'N/A'
967,906,846,2,2,2,6,'N/A'
967,888,823,2,2,2,6,'N/A'
968,907,830,2,2,2,6,'N/A'
969,905,831,2,2,2,6,'N/A'
970,917,858,2,2,2,6,'N/A'
969,923,856,2,2,2,6,'N/A'
969,919,866,2,2,2,6,'N/A'
969,908,865,2,2,2,7,'N/A'
968,903,854,2,2,2,6,'N/A'
969,910,861,2,2,2,6,'N/A'
968,910,844,2,2,2,6,'N/A'
967,915,842,2,2,2,6,'N/A'
967,907,855,2,2,2,6,'N/A'
967,916,847,2,2,2,6,'N/A'
966,915,865,2,2,2,6,'N/A'
967,920,855,2,2,2,6,'N/A'
966,907,862,2,2,2,6,'N/A'
965,908,840,2,2,2,6,'N/A'
966,906,859,2,2,2,6,'N/A'
966,915,853,2,2,2,6,'N/A'
965,909,847,2,2,2,6,'N/A'
964,900,853,2,2,2,7,'N/A'
965,896,846,2,2,2,7,'N/A'
964,908,837,2,2,2,7,'N/A'
963,908,854,2,2,2,7,'N/A'
964,905,854,2,2,2,7,'N/A'
963,902,849,2,2,2,7,'N/A'
963,905,832,2,2,2,6,'N/A'
963,909,855,2,2,2,7,'N/A'
963,907,838,2,2,2,6,'N/A'
962,910,839,2,2,2,7,'N/A'
962,903,850,2,2,2,6,'N/A'
961,903,850,2,2,2,7,'N/A'
961,892,835,2,2,2,7,'N/A'
961,895,835,2,2,2,7,'N/A'
962,906,849,2,2,2,7,'N/A'
962,899,829,2,2,2,7,'N/A'
963,901,844,2,2,2,7,'N/A'
963,916,842,2,2,2,6,'N/A'
962,909,853,2,2,2,6,'N/A'
962,903,834,2,2,2,6,'N/A'
963,904,832,2,2,2,6,'N/A'
964,908,836,2,2,2,7,'N/A'
964,907,846,2,2,2,6,'N/A'
964,916,844,2,2,2,6,'N/A'
962,907,852,2,2,2,6,'N/A'
962,902,836,2,2,2,6,'N/A'
964,909,860,2,2,2,6,'N/A'
963,903,853,2,2,2,6,'N/A'
963,909,843,2,2,2,6,'N/A'
963,900,846,2,2,2,6,'N/A'
963,902,846,2,2,2,6,'N/A'
964,910,841,2,2,2,6,'N/A'
963,915,843,2,2,2,6,'N/A'
964,908,843,2,2,2,6,'N/A'
964,907,845,2,2,2,7,'N/A'
963,908,857,2,2,2,6,'N/A'
963,904,857,2,2,2,6,'N/A'
963,907,845,2,2,2,6,'N/A'
962,905,857,2,2,2,6,'N/A'
961,893,826,2,2,2,6,'N/A'
963,911,854,2,2,2,6,'N/A'
962,896,842,2,2,2,6,'N/A'
961,906,855,2,2,2,6,'N/A'
962,900,850,2,2,2,6,'N/A'
962,904,834,2,2,2,6,'N/A'
962,904,851,2,2,2,6,'N/A'
962,905,854,2,2,2,6,'N/A'
961,908,856,2,2,2,6,'N/A'
961,916,854,2,2,2,7,'N/A'
961,904,852,2,2,2,6,'N/A'
963,893,837,2,2,2,6,'N/A'
963,905,849,2,2,2,6,'N/A'
963,909,838,2,2,2,7,'N/A'
964,905,836,2,2,2,7,'N/A'
963,902,848,2,2,2,6,'N/A'
965,910,853,2,2,2,6,'N/A'
964,915,848,2,2,2,7,'N/A'
966,910,844,2,2,2,7,'N/A'
965,899,849,2,2,2,6,'N/A'
964,899,842,2,2,2,6,'N/A'
966,911,839,2,2,2,6,'N/A'
965,904,849,2,2,2,7,'N/A'
965,902,832,2,2,2,6,'N/A'
966,911,836,2,2,2,6,'N/A'
965,916,844,2,2,2,7,'N/A'
965,910,858,2,2,2,6,'N/A'
966,914,849,2,2,2,6,'N/A'
965,910,858,2,2,2,6,'N/A'
966,904,841,2,2,2,7,'N/A'
966,908,857,2,2,2,6,'N/A'
965,916,863,2,2,2,7,'N/A'
966,910,846,2,2,2,7,'N/A'
965,902,837,2,2,2,7,'N/A'
966,902,848,2,2,2,6,'N/A'
965,909,853,2,2,2,7,'N/A'
966,916,849,2,2,2,7,'N/A'
965,900,852,2,2,2,7,'N/A'
966,914,850,2,2,2,6,'N/A'
966,900,847,2,2,2,7,'N/A'
965,899,823,2,2,2,7,'N/A'
964,900,843,2,2,2,7,'N/A'
965,912,862,2,2,2,7,'N/A'
964,913,865,2,2,2,7,'N/A'
964,899,853,2,2,2,7,'N/A'
964,899,830,2,2,2,7,'N/A'
963,909,839,2,2,2,7,'N/A'
963,917,852,2,2,2,7,'N/A'
964,909,848,2,2,2,7,'N/A'
964,897,843,2,2,2,7,'N/A'
964,892,836,2,2,2,7,'N/A'
965,901,847,2,2,2,7,'N/A'
966,909,859,2,2,2,7,'N/A'
967,905,858,2,2,2,7,'N/A'
966,902,832,2,2,2,7,'N/A'
966,897,841,2,2,2,7,'N/A'
965,908,856,2,2,2,7,'N/A'
966,895,841,2,2,2,7,'N/A'
966,896,819,2,2,2,7,'N/A'
966,904,823,2,2,2,7,'N/A'
966,911,849,2,2,2,7,'N/A'
967,920,868,2,2,2,7,'N/A'
966,926,864,2,2,2,7,'N/A'
967,920,859,2,2,2,7,'N/A'
967,919,855,2,2,2,7,'N/A'
967,918,855,2,2,2,7,'N/A'
967,915,852,2,2,2,7,'N/A'
968,910,846,2,2,2,7,'N/A'
967,911,846,2,2,2,7,'N/A'
968,914,863,2,2,2,7,'N/A'
967,908,861,2,2,2,7,'N/A'
968,902,854,2,2,2,7,'N/A'
968,897,847,2,2,2,7,'N/A'
969,897,843,2,2,2,7,'N/A'
968,904,849,2,2,2,7,'N/A'
969,905,851,2,2,2,7,'N/A'
969,901,848,2,2,2,7,'N/A'
967,900,843,2,2,2,7,'N/A'
490,444,402,10,11,12,27,'Papel Branco'
609,539,476,9,10,11,25,'Papel Branco'
602,568,499,9,9,10,23,'Papel Branco'
708,616,556,8,9,10,21,'Papel Branco'
859,703,595,6,7,7,17,'Papel Branco'
960,782,650,3,3,4,10,'Papel Branco'
979,829,694,3,2,3,8,'Papel Branco'
980,866,738,2,2,2,7,'Papel Branco'
982,893,797,2,2,2,8,'Papel Branco'
981,917,831,2,2,2,7,'Papel Branco'
982,915,836,2,2,2,7,'Papel Branco'
985,902,827,2,2,2,7,'Papel Branco'
985,902,830,2,2,2,7,'Papel Branco'
983,916,849,2,2,2,7,'Papel Branco'
985,940,863,2,2,2,7,'Papel Branco'
984,934,860,2,2,2,7,'Papel Branco'
984,921,847,2,2,2,7,'Papel Branco'
984,911,860,2,2,2,7,'Papel Branco'
984,923,871,2,2,2,7,'Papel Branco'
984,943,879,2,2,2,7,'Papel Branco'
980,926,882,2,2,2,8,'Papel Branco'
935,887,837,4,4,5,12,'Papel Branco'
728,781,787,7,8,9,19,'Papel Branco'
815,772,755,7,7,8,18,'Papel Branco'
761,752,751,8,8,9,20,'Papel Branco'
772,747,742,7,8,9,19,'Papel Branco'
818,768,746,7,7,8,18,'Papel Branco'
792,753,737,8,8,9,20,'Papel Branco'
789,748,706,7,8,9,19,'Papel Branco'
817,742,697,7,8,8,18,'Papel Branco'
817,740,692,7,7,8,19,'Papel Branco'
792,738,703,8,8,9,20,'Papel Branco'
784,736,689,8,8,9,20,'Papel Branco'
815,757,720,7,7,8,18,'Papel Branco'
879,802,748,6,6,7,16,'Papel Branco'
949,845,764,4,4,4,11,'Papel Branco'
961,864,795,3,3,4,10,'Papel Branco'
962,861,773,3,3,4,10,'Papel Branco'
967,878,805,3,3,3,9,'Papel Branco'
958,887,823,3,3,4,10,'Papel Branco'
921,877,812,5,5,5,13,'Papel Branco'
918,869,791,5,5,5,13,'Papel Branco'
918,857,786,5,5,6,13,'Papel Branco'
918,864,799,5,5,5,14,'Papel Branco'
928,866,812,4,4,5,12,'Papel Branco'
922,868,821,5,5,5,13,'Papel Branco'
920,867,824,5,5,5,13,'Papel Branco'
923,865,824,4,5,5,12,'Papel Branco'
922,859,820,4,5,5,13,'Papel Branco'
919,855,815,5,5,5,13,'Papel Branco'
923,858,804,4,5,5,13,'Papel Branco'
921,864,804,4,5,5,13,'Papel Branco'
918,863,802,5,5,5,13,'Papel Branco'
919,871,801,4,5,5,13,'Papel Branco'
922,874,822,4,5,5,13,'Papel Branco'
921,863,806,5,5,6,13,'Papel Branco'
922,858,816,5,5,5,13,'Papel Branco'
944,892,846,4,4,4,11,'Papel Branco'
966,895,845,3,3,4,10,'Papel Branco'
963,887,837,3,3,4,10,'Papel Branco'
954,884,826,4,4,4,11,'Papel Branco'
934,881,811,5,5,5,12,'Papel Branco'
892,872,824,5,6,7,15,'Papel Branco'
735,801,796,7,8,9,19,'Papel Branco'
833,811,794,6,7,7,17,'Papel Branco'
844,796,773,6,7,8,18,'Papel Branco'
952,822,751,4,4,4,10,'Papel Branco'
972,843,759,3,3,3,9,'Papel Branco'
974,871,778,2,2,2,7,'Papel Branco'
985,898,825,2,2,2,7,'Papel Branco'
983,922,854,2,2,2,7,'Papel Branco'
985,915,860,2,2,2,7,'Papel Branco'
983,905,830,2,2,2,7,'Papel Branco'
986,906,847,2,2,2,7,'Papel Branco'
985,928,874,2,2,2,7,'Papel Branco'
983,943,870,2,2,2,7,'Papel Branco'
985,925,872,2,2,2,7,'Papel Branco'
984,918,861,2,2,2,7,'Papel Branco'
983,916,865,2,2,2,7,'Papel Branco'
983,931,868,2,2,2,7,'Papel Branco'
984,942,894,2,2,2,7,'Papel Branco'
985,922,863,2,2,2,7,'Papel Branco'
985,913,851,2,2,2,6,'Papel Branco'
984,925,862,2,2,2,6,'Papel Branco'
986,940,879,2,2,2,6,'Papel Branco'
985,943,887,2,2,2,6,'Papel Branco'
984,924,881,2,2,2,7,'Papel Branco'
982,916,856,2,2,2,7,'Papel Branco'
984,927,867,2,2,2,7,'Papel Branco'
984,940,883,2,2,2,7,'Papel Branco'
984,934,893,2,2,2,7,'Papel Branco'
984,915,871,2,2,2,7,'Papel Branco'
984,904,842,2,2,2,7,'Papel Branco'
981,919,867,3,2,2,7,'Papel Branco'
976,933,886,3,2,3,8,'Papel Branco'
957,922,887,4,3,4,10,'Papel Branco'
861,869,843,6,6,7,15,'Papel Branco'
603,709,753,8,9,10,21,'Papel Branco'
435,552,621,10,10,11,24,'Papel Branco'
422,490,565,10,10,11,24,'Papel Branco'
587,536,550,8,9,10,21,'Papel Branco'
899,705,626,5,6,6,15,'Papel Branco'
902,775,686,6,6,6,16,'Papel Branco'
843,779,706,6,7,8,16,'Papel Branco'
915,812,736,5,5,6,14,'Papel Branco'
846,785,727,7,7,8,17,'Papel Branco'
905,796,739,6,6,7,15,'Papel Branco'
775,763,730,8,8,10,21,'Papel Branco'
100,437,549,11,13,14,32,'Papel Branco'
102,298,439,12,13,14,32,'Papel Branco'
100,226,354,13,12,14,32,'Papel Branco'
101,199,303,12,13,14,32,'Papel Branco'
101,182,246,12,12,14,37,'Papel Branco'
101,160,218,12,14,14,31,'Papel Branco'
103,146,193,12,12,14,31,'Papel Branco'
100,143,182,12,13,14,31,'Papel Branco'
99,130,160,12,13,15,40,'Papel Branco'
94,129,159,12,13,15,33,'Papel Branco'
97,158,197,12,13,15,33,'Papel Branco'
93,155,189,12,13,15,33,'Papel Branco'
92,159,191,12,13,17,33,'Papel Branco'
94,172,208,13,13,15,33,'Papel Branco'
114,178,218,11,12,14,30,'Papel Branco'
152,187,210,10,10,12,25,'Papel Branco'
130,169,175,11,11,13,27,'Papel Branco'
197,187,201,11,11,12,27,'Papel Branco'
322,253,236,10,11,12,26,'Papel Branco'
501,379,300,10,10,12,25,'Papel Branco'
426,399,334,10,10,12,25,'Papel Branco'
408,405,355,10,10,12,26,'Papel Branco'
466,427,391,10,10,12,25,'Papel Branco'
190,305,338,11,11,13,28,'Papel Branco'
108,227,260,12,12,14,31,'Papel Branco'
106,183,236,12,12,14,31,'Papel Branco'
127,171,214,11,12,13,28,'Papel Branco'
580,364,295,10,10,12,25,'Papel Branco'
782,546,396,8,8,9,20,'Papel Branco'
117,330,336,10,11,12,26,'Papel Branco'
160,276,324,10,11,12,27,'Papel Branco'
736,504,426,9,9,10,23,'Papel Branco'
204,335,363,11,12,13,30,'Papel Branco'
102,248,301,12,13,15,35,'Papel Branco'
160,216,244,11,12,13,30,'Papel Branco'
804,480,369,8,8,10,20,'Papel Branco'
864,620,459,7,7,8,17,'Papel Branco'
906,725,558,5,6,6,15,'Papel Branco'
850,760,624,7,7,8,18,'Papel Branco'
862,790,675,7,7,8,18,'Papel Branco'
191,493,569,11,12,14,30,'Papel Branco'
227,379,465,11,12,13,30,'Papel Branco'
486,432,439,10,11,13,27,'Papel Branco'
108,261,340,12,12,14,30,'Papel Branco'
127,209,267,11,12,13,29,'Papel Branco'
136,177,240,11,12,15,30,'Papel Branco'
165,188,209,11,12,13,29,'Papel Branco'
108,172,194,11,12,14,29,'Papel Branco'
411,303,275,10,11,12,26,'Papel Branco'
487,387,332,10,11,11,25,'Papel Branco'
649,505,412,9,9,10,22,'Papel Branco'
614,539,456,9,9,11,22,'Papel Branco'
725,610,511,9,9,10,21,'Papel Branco'
707,621,520,9,9,10,23,'Papel Branco'
784,670,558,8,8,9,19,'Papel Branco'
880,745,624,6,6,7,15,'Papel Branco'
918,800,682,5,5,6,14,'Papel Branco'
796,769,685,8,8,9,20,'Papel Branco'
529,639,645,10,10,11,23,'Papel Branco'
759,694,647,8,8,10,20,'Papel Branco'
516,600,600,10,10,11,25,'Papel Branco'
643,601,591,9,9,10,23,'Papel Branco'
121,356,459,10,11,13,28,'Papel Branco'
464,412,424,9,10,11,25,'Papel Branco'
139,265,353,11,11,13,35,'Papel Branco'
104,206,289,12,13,14,32,'Papel Branco'
98,177,250,12,13,15,35,'Papel Branco'
98,164,222,12,13,15,35,'Papel Branco'
98,170,224,12,13,15,34,'Papel Branco'
101,168,209,12,12,14,31,'Papel Branco'
101,169,205,11,12,14,31,'Papel Branco'
98,148,177,11,13,14,33,'Papel Branco'
99,142,167,12,12,14,32,'Papel Branco'
100,145,169,11,13,14,32,'Papel Branco'
100,144,167,12,13,16,33,'Papel Branco'
105,149,163,12,12,14,32,'Papel Branco'
394,280,247,10,11,12,27,'Papel Branco'
110,214,225,11,12,15,32,'Papel Branco'
101,195,223,13,13,15,33,'Papel Branco'
102,177,201,13,14,16,37,'Papel Branco'
102,162,188,12,14,16,37,'Papel Branco'
102,152,174,12,13,15,34,'Papel Branco'
102,149,174,12,13,15,34,'Papel Branco'
103,138,156,12,13,17,34,'Papel Branco'
101,140,154,12,13,15,35,'Papel Branco'
102,148,168,12,13,15,34,'Papel Branco'
103,257,332,12,13,15,35,'Papel Branco'
109,213,281,13,13,15,35,'Papel Branco'
117,188,237,11,12,14,30,'Papel Branco'
119,185,226,11,12,14,30,'Papel Branco'
119,170,202,11,12,14,29,'Papel Branco'
109,155,178,12,13,15,34,'Papel Branco'
108,146,176,12,13,15,32,'Papel Branco'
107,147,157,12,13,15,33,'Papel Branco'
109,147,166,12,13,14,31,'Papel Branco'
112,157,161,12,12,14,30,'Papel Branco'
113,162,180,11,12,14,29,'Papel Branco'
117,171,204,12,12,13,29,'Papel Branco'
121,183,196,10,11,13,27,'Papel Branco'
119,172,209,11,12,13,29,'Papel Branco'
442,307,269,10,10,12,25,'Papel Branco'
405,338,275,10,10,12,30,'Papel Branco'
128,221,239,12,11,13,28,'Papel Branco'
256,240,241,10,11,12,27,'Papel Branco'
113,189,213,11,12,13,29,'Papel Branco'
116,178,223,11,12,13,29,'Papel Branco'
122,186,205,11,11,13,29,'Papel Branco'
130,185,225,11,11,13,28,'Papel Branco'
317,274,264,10,11,12,27,'Papel Branco'
646,440,349,9,9,11,23,'Papel Branco'
852,602,442,7,7,8,18,'Papel Branco'
907,714,541,5,6,6,14,'Papel Branco'
938,785,625,5,5,5,12,'Papel Branco'
953,826,696,4,4,5,12,'Papel Branco'
954,871,735,4,4,4,11,'Papel Branco'
958,898,777,4,4,4,11,'Papel Branco'
957,907,797,4,4,4,11,'Papel Branco'
954,893,816,4,4,4,11,'Papel Branco'
942,876,808,4,4,5,12,'Papel Branco'
925,866,797,5,5,6,14,'Papel Branco'
893,851,792,6,6,7,16,'Papel Branco'
829,818,770,7,7,8,18,'Papel Branco'
738,772,749,9,9,10,22,'Papel Branco'
572,659,698,10,10,11,29,'Papel Branco'
428,541,615,10,11,12,26,'Papel Branco'
369,451,530,10,11,12,27,'Papel Branco'
323,375,450,10,11,13,27,'Papel Branco'
316,337,373,11,11,12,27,'Papel Branco'
